"Job ID",Agency,"Posting Type","# Of Positions","Business Title","Civil Service Title","Title Classification","Title Code No",Level,"Job Category","Full-Time/Part-Time indicator","Career Level","Salary Frequency","Work Location","Division/Work Unit",Hours/Shift,"Work Location 1","Residency Requirement","Posting Date","Post Until","Posting Updated","Process Date",Salary_Range_From,Salary_Range_To,Job_Category_Industry,Hours_Shift_Simplified,Salary_Range_From_Modified,Salary_Range_To_Modified
637698,"DEPT OF HEALTH/MENTAL HYGIENE",Internal,1,"EXECUTIVE DIRECTOR OF THE MENTAL HYGIENE  POLICY & COMMUNICATIONS,  OFFICE OF EXECUTIVE DEPUTY COMMISSIONER","CITY RESEARCH SCIENTIST",Non-Competitive-5,21744,4B,"Health Policy, Research & Analysis",FT,"Experienced (non-manager)",Annual,"City Hall","Executive Deputy Com",N/A,N/A,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County.",7/10/2024,7-Nov-24,7/10/2024,8/6/2024,$105746,$150000,"Policy, Research & Analysis",N/A,$105746,$150000
643197,"FIRE DEPARTMENT",External,4,"ASSOCIATE INVESTIGATOR","ASSOCIATE INVESTIGATOR (NOT PR",Competitive-1,31121,1,"Administration & Human Resources",FT,"Experienced (non-manager)",Annual,"Candidate Investigation Divisi","Candidate Investigation Div",N/A,N/A,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County.",7/23/2024,7-Aug-24,7/25/2024,8/6/2024,$57490,$85912,"Administration & Human Resources",N/A,$57490,$85912
642391,"DEPT OF HEALTH/MENTAL HYGIENE",Internal,1,"EYEGLASS DISTRIBUTION SUPERVISOR, BUREAU OF SCHOOL HEALTH","COMMUNITY COORDINATOR",Non-Competitive-5,56058,0,"Constituent Services & Community Programs Health",FT,"Experienced (non-manager)",Annual,"30-30 47TH AVE","SH Vision",N/A,N/A,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County.",7/16/2024,16-Jul-25,7/16/2024,8/6/2024,$60889,$78923,Health,N/A,$60889,$78923
624843,"DEPARTMENT OF TRANSPORTATION",External,1,"BOB- ADMINISTRATIVE CONSTRUCTION PROJECT MANAGER","ADM CONSTRUCTION PRJ MGR-NM",Competitive-1,8299A,0,"Engineering, Architecture, & Planning",FT,"Experienced (non-manager)",Annual,"55 Water St Ny Ny","Bridge Repair/PM Headquarters",8am-4pm,"55 Water St Ny Ny","New York City Residency is not required for this position.",3/2/2024,N/A,3/5/2024,8/6/2024,$58682,$159671,"Engineering, Architecture, & Planning","8 AM - 4 PM",$58682,$159671
593029,"DEPT OF DESIGN & CONSTRUCTION",External,1,"DEPUTY DIRECTOR","ADM ENGINEER (NON MGRL)",Competitive-1,1001A,0,"Engineering, Architecture, & Planning",FT,"Experienced (non-manager)",Annual,"40 Worth St., N.Y.",INFRA/CONST.MGMT3/MAN/SEC2,"35 Hours","40 Worth St., N.Y.","New York City Residency is not required for this position.",9/1/2023,N/A,9/1/2023,8/6/2024,$58682,$134570,"Engineering, Architecture, & Planning","35 Hours Per Week",$58682,$134570
631996,"DEPT OF CITYWIDE ADMIN SVCS",External,1,"SENIOR ADVISOR, REAL ESTATE SERVICES","ASSISTANT COMMISSIONER (DCAS)",Non-Competitive-5,95613,M4,"Finance, Accounting, & Procurement",FT,Executive,Annual,"1 Centre St., N.Y.","RES/Executive Office",N/A,N/A,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County.",7/22/2024,20-Oct-24,7/22/2024,8/6/2024,$190000,$205000,"Finance, Accounting, & Procurement",N/A,$190000,$205000
551201,"DEPT OF ENVIRONMENT PROTECTION",Internal,1,"STATIONARY ENGINEER (ELECTRIC)","STATIONARY ENGINEER (ELECTRIC)",Competitive-1,91645,0,"Building Operations & Maintenance",FT,"Experienced (non-manager)",Hourly,"1270 Victory Blvd, Staten Isl","NEW CLOVE PUMPING STATION",N/A,N/A,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County.",9/16/2022,N/A,9/16/2022,8/6/2024,$63,$63,"Building Operations & Maintenance",N/A,$63,$63
637012,"OFFICE OF THE COMPTROLLER",Internal,1,"EXECUTIVE DIRECTOR, BUREAU OF ENGINEERING","ADMINISTRATIVE ENGINEER",Competitive-1,10015,M5,"Engineering, Architecture, & Planning",FT,Manager,Annual,"1 Centre St., N.Y.",Engineering,N/A,N/A,"New York City Residency is not required for this position.",5/24/2024,22-Aug-24,5/24/2024,8/6/2024,$160000,$170000,"Engineering, Architecture, & Planning",N/A,$160000,$170000
638295,"HOUSING PRESERVATION & DVLPMNT",External,1,"CASE MANAGER FOR THE DIVISION OF TENANT AND OWNER RESOURCES","COMMUNITY ASSOCIATE",Non-Competitive-5,56057,0,"Constituent Services & Community Programs",FT,"Experienced (non-manager)",Annual,"100 Gold Street","HOUSING CHOICE VOUCHER TENANCY",N/A,N/A,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County.",6/12/2024,11-Aug-24,6/12/2024,8/6/2024,$48170,$48170,"Constituent Services & Community Programs",N/A,$48170,$48170
638594,"BRONX DISTRICT ATTORNEY",Internal,1,"INTELLIGENCE ANALYST - COMMUNITY ASSOCIATE","COMMUNITY ASSOCIATE",Non-Competitive-5,56057,0,"Technology, Data & Innovation Legal Affairs Public Safety, Inspections, & Enforcement",FT,"Experienced (non-manager)",Annual,"260 E 161st St., Brx","Support Staff",N/A,N/A,"New York City Residency is not required for this position.",6/17/2024,17-Jun-25,6/17/2024,8/6/2024,$60000,$60000,"Technology, Data & Innovation",N/A,$60000,$60000
642973,"DEPT OF HEALTH/MENTAL HYGIENE",Internal,1,"ASSISTANT DIRECTOR OF FORENSIC PATHOLOGY SUPPORT SERVICES","CRIMINALIST ASSISTANT DIRECTOR",Non-Competitive-5,2184C,M1,Health,FT,"Experienced (non-manager)",Annual,"520 1St Ave., N.Y.","OCME - Forensic Path Coord",N/A,N/A,"New York City Residency is not required for this position.",7/29/2024,N/A,7/29/2024,8/6/2024,$66066,$181807,Health,N/A,$66066,$181807
550629,"DEPARTMENT OF TRANSPORTATION",Internal,1,ACCOUNTANT,"ADMINISTRATIVE STAFF ANALYST (",Competitive-1,1002A,0,"Finance, Accounting, & Procurement",FT,"Experienced (non-manager)",Annual,"55 Water St Ny Ny",Franchise/Concessions/Consents,35hrs,"55 Water Street, NY, NY","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County.",9/19/2022,N/A,9/19/2022,8/6/2024,$84451,$113550,"Finance, Accounting, & Procurement","35 Hours Per Week",$84451,$113550
524852,"DEPARTMENT OF CORRECTION",External,5,"ASSISTANT GENERAL COUNSEL","AGENCY ATTORNEY",Non-Competitive-5,30087,3,"Legal Affairs",FT,"Experienced (non-manager)",Annual,"75-20 Astoria Blvd","General Counsel",N/A,N/A,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County.",3/17/2022,N/A,9/20/2022,8/6/2024,$79620,$91563,"Legal Affairs",N/A,$79620,$91563
628730,"DEPT OF HEALTH/MENTAL HYGIENE",External,1,"FORENSIC MORTUARY TECHNICIAN I","FORENSIC MORTUARY TECHNICIAN",Competitive-1,52040,1,Health,FT,"Experienced (non-manager)",Annual,"520 1St Ave., N.Y.","OCME - Mortuary Operations",N/A,N/A,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County.",3/4/2024,N/A,5/1/2024,8/6/2024,$45697,$59308,Health,N/A,$45697,$59308
538207,"DEPARTMENT OF CORRECTION",Internal,2,"LEGAL COORDINATOR","LEGAL COORDINATOR",Competitive-1,30081,0,"Constituent Services & Community Programs Social Services",FT,"Experienced (non-manager)",Annual,"75-20 Astoria Blvd","Adult Offender Pgms.",N/A,N/A,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County.",7/1/2022,N/A,2/28/2023,8/6/2024,$47418,$54531,"Social Services",N/A,$47418,$54531
624976,"HRA/DEPT OF SOCIAL SERVICES",External,1,"DEPUTY REGIONAL MANAGER","ADMINISTRATIVE JOB OPPORTUNITY",Competitive-1,1024A,M2,"Social Services",FT,Manager,Annual,"470 Vanderbilt Ave","FIA Operations  Manager",N/A,N/A,"New York City Residency is not required for this position.",1/26/2024,N/A,5/1/2024,8/6/2024,$86185,$99113,"Social Services",N/A,$86185,$99113
640420,"OFFICE OF EMERGENCY MANAGEMENT",Internal,1,"MONITORING AND EVALUATION SPECIALIST","EMERGENCY PREPAREDNESS SPECIAL",Non-Competitive-5,94612,1,"Policy, Research & Analysis",FT,"Experienced (non-manager)",Annual,"165 Cadman Plaza East","Office of Strategic Operations","9am - 5pm  Monday thru Friday","165 Cadman Plaza East, Brooklyn, NY 11201","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County.",7/12/2024,13-Aug-24,7/12/2024,8/6/2024,$68428,$68428,"Policy, Research & Analysis","40 Hours Per Week",$68428,$68428
565643,"DEPARTMENT OF TRANSPORTATION",Internal,3,"ASSISTANT CIVIL ENGINEER","ASSISTANT CIVIL ENGINEER",Competitive-1,20210,0,"Engineering, Architecture, & Planning",FT,"Experienced (non-manager)",Annual,"55 Water St Ny Ny","Bridges Roadways","35 Hours","55 Water St Ny Ny","New York City Residency is not required for this position.",12/26/2022,N/A,12/26/2022,8/6/2024,$57078,$85646,"Engineering, Architecture, & Planning","35 Hours Per Week",$57078,$85646
633057,"NYC HOUSING AUTHORITY",External,1,"VICE PRESIDENT OF STRATEGIC SERVICES","ASSISTANT EXECUTIVE DIRECTOR (",Non-Competitive-5,10174,M5,"Administration & Human Resources Communications & Intergovernmental Affairs Policy, Research & Analysis",FT,Manager,Annual,"VP-Strategic Services","VP-Strategic Services",N/A,N/A,"New York City Residency is not required for this position.",4/25/2024,N/A,6/4/2024,8/6/2024,$97187,$210000,"Policy, Research & Analysis",N/A,$97187,$210000
637905,"DEPT OF HEALTH/MENTAL HYGIENE",Internal,1,"PHYSICIAN (PART-TIME), BUREAU OF PUBLIC HEALTH CLINICS","CITY MEDICAL SPECIALIST (PART-",Non-Competitive-5,53040,2,Health,PT,"Experienced (non-manager)",Hourly,"42-09 28th Street","Medical Services",N/A,N/A,"New York City Residency is not required for this position.",6/14/2024,11-Dec-24,6/14/2024,8/6/2024,$79,$85,Health,N/A,$79,$85
598335,"DEPARTMENT OF TRANSPORTATION",Internal,1,"SOLUTION ARCHITECT / TECHNICAL LEAD","SENIOR IT ARCHITECT",Non-Competitive-5,95711,0,"Technology, Data & Innovation",FT,"Experienced (non-manager)",Annual,"55 Water St Ny Ny","IT & Telecom",N/A,N/A,"New York City Residency is not required for this position.",8/21/2023,N/A,8/21/2023,8/6/2024,$100000,$180000,"Technology, Data & Innovation",N/A,$100000,$180000
638445,"DEPT OF DESIGN & CONSTRUCTION",External,3,"SENIOR PROJECT MANAGER","CONSTRUCTION PROJECT MANAGER",Competitive-1,34202,2,"Engineering, Architecture, & Planning",FT,"Experienced (non-manager)",Annual,"30-30 Thomson Ave L I City Qns","PUB BLDGS/CPD/VARIOUS",N/A,N/A,"New York City Residency is not required for this position.",6/20/2024,N/A,8/2/2024,8/6/2024,$74041,$85147,"Engineering, Architecture, & Planning",N/A,$74041,$85147
549839,"DEPARTMENT OF TRANSPORTATION",Internal,1,"SECURITY ARCHITECT","IT SECURITY SPECIALIST",Non-Competitive-5,95622,0,"Technology, Data & Innovation",FT,Entry-Level,Annual,"55 Water St Ny Ny","IT & Telecom",N/A,N/A,"New York City Residency is not required for this position.",9/7/2022,N/A,1/17/2023,8/6/2024,$0,$150000,"Technology, Data & Innovation",N/A,$0,$150000
638047,"NYC HOUSING AUTHORITY",External,1,"AGENCY ATTORNEY 03","AGENCY ATTORNEY",Non-Competitive-5,30087,3,"Legal Affairs",FT,"Experienced (non-manager)",Annual,"Contracts Division","Law Dept-Contracts",N/A,N/A,"New York City Residency is not required for this position.",6/20/2024,N/A,6/20/2024,8/6/2024,$103055,$105000,"Legal Affairs",N/A,$103055,$105000
629820,"DEPARTMENT OF TRANSPORTATION",External,1,"CHIEF OF BIKES AND MICROMOBILITY","ADM CONSTRUCTION PRJ MGR-NM",Competitive-1,8299A,0,"Engineering, Architecture, & Planning Policy, Research & Analysis",FT,"Experienced (non-manager)",Annual,"55 Water St Ny Ny","Office of Bicycle/Pedes Prgms","35 hrs. per week / 9am-5pm","55 Water St Ny Ny","New York City Residency is not required for this position.",3/14/2024,N/A,4/16/2024,8/6/2024,$58682,$159671,"Policy, Research & Analysis","35 Hours Per Week",$58682,$159671
628138,"DEPARTMENT FOR THE AGING",External,1,"NUTRITION ADVISOR","NUTRITION CONSULTANT",Competitive-1,50415,0,"Constituent Services & Community Programs Green Jobs Health Social Services",FT,"Experienced (non-manager)",Annual,"2 Lafayette St., N.Y.","NUTRITION MANAGEMENT",N/A,N/A,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County.",6/12/2024,9-Dec-24,6/12/2024,8/6/2024,$67738,$77899,"Social Services",N/A,$67738,$77899
614684,"DEPT OF ENVIRONMENT PROTECTION",Internal,1,"PORTFOLIO MANAGER","ADMINISTRATIVE ENGINEER",Competitive-1,10015,M4,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",FT,Manager,Annual,"465 Columbus Ave. Valhalla, Ny","UPSTATE CAPITAL CONSTR. - IFA",N/A,"465 Columbus Ave. Valhalla, Ny","New York City Residency is not required for this position.",11/27/2023,N/A,11/27/2023,8/6/2024,$80931,$208826,"Public Safety",N/A,$80931,$208826
635442,"DEPT OF ENVIRONMENT PROTECTION",External,1,"HEALTH & SAFETY SPECIALIST","CONSTRUCTION PROJECT MANAGER",Competitive-1,34202,3,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",FT,"Experienced (non-manager)",Annual,"465 Columbus Ave. Valhalla, Ny","UPSTATE CAPITAL CONSTR. - IFA",N/A,N/A,"New York City Residency is not required for this position.",5/10/2024,N/A,7/15/2024,8/6/2024,$78745,$133496,"Public Safety",N/A,$78745,$133496
626606,"HRA/DEPT OF SOCIAL SERVICES",Internal,1,"AUDIT MANAGER","ADMINISTRATIVE STAFF ANALYST (",Competitive-1,1002A,0,"Administration & Human Resources Finance, Accounting, & Procurement Policy, Research & Analysis Social Services",FT,Manager,Annual,"4 World Trade Center","Fiscal Operations-Mgr",N/A,"4 World Trade Center","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County.",3/12/2024,N/A,4/4/2024,8/6/2024,$84451,$92896,"Social Services",N/A,$84451,$92896
639646,"HUMAN RIGHTS COMMISSION",Internal,1,"ASSISTANT COMMISSIONER-LITIGATION & PRE-COMPLAINT OPERATIONS","EXECUTIVE AGENCY COUNSEL",Non-Competitive-5,95005,M2,"Legal Affairs",FT,Executive,Annual,"22 Reade St, Ny","Law Enforc.Bureau Executive",N/A,N/A,"New York City Residency is not required for this position.",7/1/2024,N/A,7/1/2024,8/6/2024,$145000,$145000,"Legal Affairs",N/A,$145000,$145000
555542,"DEPARTMENT OF TRANSPORTATION",Internal,1,"CIVIL ENGINEER I","CIVIL ENGINEER",Competitive-1,20215,1,"Engineering, Architecture, & Planning",FT,"Experienced (non-manager)",Annual,"55 Water St Ny Ny","Bur Of Spec Eng & Const","35 Hours","55 Water St Ny Ny","New York City Residency is not required for this position.",10/13/2022,N/A,2/13/2023,8/6/2024,$67757,$98128,"Engineering, Architecture, & Planning","35 Hours Per Week",$67757,$98128
631886,"DEPARTMENT OF TRANSPORTATION",External,2,PLANNER,"CITY PLANNER",Competitive-1,22122,2,"Engineering, Architecture, & Planning",FT,"Experienced (non-manager)",Annual,"55 Water St Ny Ny","Legal Affairs",35hrs,"55 Water Street, NY, NY","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County.",4/3/2024,N/A,4/4/2024,8/6/2024,$71255,$104894,"Engineering, Architecture, & Planning","35 Hours Per Week",$71255,$104894
643075,"DISTRICT ATTORNEY-MANHATTAN",External,1,"EXTRADITION/PROPERTY RELEASE SPECIALIST","COMMUNITY ASSOCIATE",Non-Competitive-5,56057,0,"Legal Affairs",FT,Entry-Level,Annual,"1 Hogan Pl./100 Centre St., N.","CMS Central",N/A,N/A,"New York City Residency is not required for this position.",7/23/2024,N/A,7/23/2024,8/6/2024,$50470,$50470,"Legal Affairs",N/A,$50470,$50470
545210,"HRA/DEPT OF SOCIAL SERVICES",Internal,1,"HEADCOUNT & BUDGET ANALYST","ASSOCIATE STAFF ANALYST",Competitive-1,12627,0,"Administration & Human Resources Finance, Accounting, & Procurement Social Services",FT,"Experienced (non-manager)",Annual,"4 World Trade Center","Office Of HR Solutions-NM",N/A,N/A,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County.",8/10/2022,N/A,4/9/2024,8/6/2024,$70611,$81203,"Social Services",N/A,$70611,$81203
644012,"DEPT OF DESIGN & CONSTRUCTION",External,1,"CAPITAL BUDGET ANALYST","STAFF ANALYST",Competitive-1,12626,2,"Finance, Accounting, & Procurement",FT,"Experienced (non-manager)",Annual,"30-30 Thomson Ave L I City Qns",F&P/Executive,N/A,N/A,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County.",7/30/2024,N/A,7/30/2024,8/6/2024,$68262,$78501,"Finance, Accounting, & Procurement",N/A,$68262,$78501
634739,"HRA/DEPT OF SOCIAL SERVICES",External,1,"ACCOUNTING COORDINATOR",ACCOUNTANT,Competitive-1,40510,2,"Finance, Accounting, & Procurement",FT,"Experienced (non-manager)",Annual,"4 World Trade Center","Off Of Child‚  Enforc-NM",N/A,N/A,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County.",7/3/2024,N/A,7/31/2024,8/6/2024,$61206,$97919,"Finance, Accounting, & Procurement",N/A,$61206,$97919
558349,"DEPT OF ENVIRONMENT PROTECTION",External,1,"SECTION CHIEF OF LIFECYCLE MANAGEMENT","CITY RESEARCH SCIENTIST",Non-Competitive-5,21744,4A,"Engineering, Architecture, & Planning Finance, Accounting, & Procurement",FT,Manager,Annual,"96-05 Horace Harding Expway","PLANNING & ANALYSIS","35 hours per week/day","96-05 Horace Harding Expressway Corona, NY 11368","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County.",11/15/2022,N/A,12/6/2022,8/6/2024,$94283,$122290,"Finance, Accounting, & Procurement","35 Hours Per Week",$94283,$122290
634375,"DEPT OF DESIGN & CONSTRUCTION",Internal,1,"SENIOR PERSONNEL ANALYST","COMMUNITY COORDINATOR",Non-Competitive-5,56058,0,"Administration & Human Resources",FT,"Experienced (non-manager)",Annual,"30-30 Thomson Ave L I City Qns",Hrsd/Personnel,N/A,N/A,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County.",4/29/2024,N/A,5/24/2024,8/6/2024,$59116,$82170,"Administration & Human Resources",N/A,$59116,$82170
570748,"DEPT OF ENVIRONMENT PROTECTION",Internal,1,MACHINIST,MACHINIST,Competitive-1,92610,0,"Public Safety, Inspections, & Enforcement",FT,"Experienced (non-manager)",Hourly,"465 Columbus Ave. Valhalla, Ny","Dept of Environment Protection",N/A,N/A,"New York City Residency is not required for this position.",1/30/2023,N/A,3/8/2023,8/6/2024,$37,$43,"Public Safety",N/A,$37,$43
639120,"OFFICE OF MANAGEMENT & BUDGET",Internal,1,"GRANT MONITORING  ANALYST","BUDGET ANALYST (OMB)","Pending Classification-2",6088,1,"Finance, Accounting, & Procurement Policy, Research & Analysis",FT,Entry-Level,Annual,"255 Greenwich Street","Revenue/Economic Anal",N/A,"255 Greenwich Street","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County.",6/21/2024,N/A,6/21/2024,8/6/2024,$74893,$84257,"Policy, Research & Analysis",N/A,$74893,$84257
638698,"DEPARTMENT OF CITY PLANNING",Internal,1,"PROGRAM MANAGER","CITY PLANNER",Competitive-1,22122,2,"Engineering, Architecture, & Planning",FT,"Experienced (non-manager)",Annual,"120 Broadway, New York, NY","Capital Planning",N/A,N/A,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County.",6/20/2024,N/A,6/20/2024,8/6/2024,$73393,$84401,"Engineering, Architecture, & Planning",N/A,$73393,$84401
642337,"OFF OF PAYROLL ADMINISTRATION",External,1,"CHECK REPLACEMENT ASSOCIATE","PRINCIPAL ADMINISTRATIVE ASSOC",Competitive-1,10124,2,"Finance, Accounting, & Procurement",FT,"Experienced (non-manager)",Annual,"5 Manhattan West","Check Replacement","35 Hours Weekly/Day","5 Manhattan West, NY, NY  10001","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County.",7/15/2024,N/A,7/15/2024,8/6/2024,$57976,$84276,"Finance, Accounting, & Procurement","35 Hours Per Week",$57976,$84276
624908,"OFFICE OF THE COMPTROLLER",External,1,"CLAIMS SPECIALIST, LEVEL III Ã¢Â€Â“ REAL PROPERTY DIVISION","CLAIM SPECIALIST",Competitive-1,30726,3,"Legal Affairs",FT,"Experienced (non-manager)",Annual,"1 Centre St., N.Y.","Law and Adjustment",N/A,N/A,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County.",1/26/2024,N/A,1/26/2024,8/6/2024,$65709,$75565,"Legal Affairs",N/A,$65709,$75565
636092,"DEPT OF HEALTH/MENTAL HYGIENE",External,1,"CHILD CARE INVESTIGATOR, BUREAU OF CHILDCARE","ASSOCIATE INVESTIGATOR (NOT PR",Competitive-1,31121,1,"Health Public Safety, Inspections, & Enforcement",FT,"Experienced (non-manager)",Annual,"1309 Fulton Ave Bronx","Child Care",N/A,N/A,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County.",5/14/2024,14-May-25,5/14/2024,8/6/2024,$55816,$64188,"Public Safety",N/A,$55816,$64188
639620,"OFFICE OF THE COMPTROLLER",Internal,1,"CLAIM SPECIALIST, LEVEL II - PROPERTY DAMAGE","CLAIM SPECIALIST",Competitive-1,30726,2,"Legal Affairs",FT,"Experienced (non-manager)",Annual,"1 Centre St., N.Y.","Law and Adjustment",N/A,N/A,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County.",6/28/2024,26-Sep-24,6/28/2024,8/6/2024,$57490,$66114,"Legal Affairs",N/A,$57490,$66114
538833,"DEPARTMENT OF TRANSPORTATION",External,1,"SPACE ANALYST","SPACE ANALYST",Competitive-1,80184,1,"Engineering, Architecture, & Planning Building Operations & Maintenance",FT,"Experienced (non-manager)",Annual,"55 Water St Ny Ny","Facilities Maintenance",35hrs,"55 Water Street, NY, NY","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County.",7/5/2022,N/A,7/6/2022,8/6/2024,$57078,$85646,"Engineering, Architecture, & Planning","35 Hours Per Week",$57078,$85646
632007,"NYC HOUSING AUTHORITY",External,1,"PROGRAM ASSOCIATE FOR WASTE MANAGEMENT","COMMUNITY COORDINATOR",Non-Competitive-5,56058,0,"Green Jobs",FT,"Experienced (non-manager)",Annual,"Sustainability Programs","Sustainability Programs",N/A,N/A,"New York City Residency is not required for this position.",4/12/2024,N/A,4/12/2024,8/6/2024,$59116,$91768,"Green Jobs",N/A,$59116,$91768
633272,"DEPT OF HEALTH/MENTAL HYGIENE",External,1,"CLEARANCE ADMINISTRATOR, BUREAU OF CHILDCARE",INVESTIGATOR,Competitive-1,31105,0,"Health Public Safety, Inspections, & Enforcement",FT,"Experienced (non-manager)",Annual,"125 Worth Street, Nyc","Child Care",N/A,N/A,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County.",4/18/2024,18-Oct-24,4/18/2024,8/6/2024,$45329,$52128,"Public Safety",N/A,$45329,$52128
633817,"HRA/DEPT OF SOCIAL SERVICES",External,1,"REGIONAL MANAGER","ADMINISTRATIVE JOB OPPORTUNITY",Competitive-1,1024A,M3,"Social Services",FT,Manager,Annual,"4 World Trade Center","FIA Operations  Manager",N/A,N/A,"New York City Residency is not required for this position.",4/18/2024,N/A,4/18/2024,8/6/2024,$110000,$136749,"Social Services",N/A,$110000,$136749
642916,"NYC HOUSING AUTHORITY",Internal,1,"CONSTRUCTION PROJECT MANAGER","CONSTRUCTION PROJECT MANAGER",Competitive-1,34202,2,"Public Safety, Inspections, & Enforcement",FT,"Experienced (non-manager)",Annual,"Mold ASMT & Remediation-DIR","Mold Asmt & Remediation",N/A,N/A,"New York City Residency is not required for this position.",7/29/2024,12-Aug-24,7/29/2024,8/6/2024,$74041,$88055,"Public Safety",N/A,$74041,$88055
