"Job ID",Agency,"Posting Type","# Of Positions","Business Title","Civil Service Title","Title Classification","Title Code No",Level,"Job Category","Full-Time/Part-Time indicator","Career Level","Salary Frequency","Work Location","Division/Work Unit",Hours/Shift,"Work Location 1","Residency Requirement","Posting Date","Post Until","Posting Updated","Process Date",Salary_Range_From,Salary_Range_To,Job_Category_Industry,Hours_Shift_Simplified,Salary_Range_From_Modified,Salary_Range_To_Modified
585949,"DEPARTMENT OF TRANSPORTATION",Internal,1,"DIRECTOR OF SPECIALTY CONSTRUCTION PROJECTS","ADM CONSTRUCTION PRJ MGR-NM",Competitive-1,8299A,0,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",FT,"Experienced (non-manager)",Annual,"55 Water St Ny Ny","Bureau of Bridges Exec Hdqtr","35 Hours","55 Water St Ny Ny","New York City Residency is not required for this position.",5/15/2023,N/A,5/16/2023,8/6/2024,$56972,$155020,"Public Safety","35 Hours Per Week",$56972,$155020
622944,"DEPT OF HEALTH/MENTAL HYGIENE",Internal,1,"PHYSICIAN (PART-TIME), BUREAU OF TUBERCULOSIS CONTROL","CITY MEDICAL SPECIALIST (PART-",Non-Competitive-5,53040,4,"Constituent Services & Community Programs Health Policy, Research & Analysis",FT,"Experienced (non-manager)",Daily,"30-30 47TH AVE","TB Executive Office",N/A,N/A,"New York City Residency is not required for this position.",1/16/2024,N/A,1/16/2024,8/6/2024,$82,$82,"Policy, Research & Analysis",N/A,$82,$82
631227,"HRA/DEPT OF SOCIAL SERVICES",External,1,"IT PROJECT BUDGET MANAGER","ADMINISTRATIVE STAFF ANALYST (",Competitive-1,1002A,0,"Finance, Accounting, & Procurement",FT,"Experienced (non-manager)",Annual,"4 World Trade Center","Budget Administration-NM","Schedule - Monday to Friday:  9:00AM to 5:00PM","4 World Trade Center","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County.",7/11/2024,N/A,7/11/2024,8/6/2024,$92283,$124080,"Finance, Accounting, & Procurement","40 Hours Per Week",$92283,$124080
527894,"ADMIN FOR CHILDREN'S SVCS",External,1,"CHILD PROTECTIVE MANAGER","DIRECTOR OF FIELD OPERATIONS (",Non-Competitive-5,95600,M1,"Social Services",FT,Manager,Annual,"2501 Grand Concourse","Bronx Zone B (DCP)",N/A,N/A,"New York City Residency is not required for this position.",6/30/2022,N/A,12/6/2022,8/6/2024,$58700,$102226,"Social Services",N/A,$58700,$102226
582182,"DEPARTMENT OF TRANSPORTATION",Internal,2,"SUMMER INTERN","SUMMER COLLEGE INTERN",Non-Competitive-5,10234,0,"Engineering, Architecture, & Planning",FT,Student,Hourly,"55 Water St Ny Ny","Bridge Inspection","35 Hours","55 Water St Ny Ny","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County.",4/12/2023,N/A,4/12/2023,8/6/2024,$15,$18,"Engineering, Architecture, & Planning","35 Hours Per Week",$27300,$32760
592921,"DEPARTMENT OF TRANSPORTATION",Internal,1,"CONTRACT COORDINATOR","ADMINISTRATIVE CONTRACT SPECIA",Competitive-1,1009A,0,"Finance, Accounting, & Procurement",FT,"Experienced (non-manager)",Annual,"55 Water St Ny Ny","Bureau of Bridges Exec Hdqtr","35 Hours- Standard shift 8-4","55 Water St Ny Ny","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County.",7/17/2023,N/A,7/17/2023,8/6/2024,$58700,$192152,"Finance, Accounting, & Procurement","35 Hours Per Week",$58700,$192152
639675,"OFFICE OF MANAGEMENT & BUDGET",External,1,"UH/DAD (PROCUREMENT LEAD SPECIALIST)  MANAGEMENT & OPERATIONS","BUDGET ANALYST (OMB)-MANAGERIA","Pending Classification-2",0608A,M1,"Finance, Accounting, & Procurement Policy, Research & Analysis",FT,Manager,Annual,"255 Greenwich Street","Budget Directors Office (MGRL)",N/A,"255 Greenwich Street","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County.",6/28/2024,N/A,6/28/2024,8/6/2024,$117935,$141217,"Policy, Research & Analysis",N/A,$117935,$141217
585649,"DEPARTMENT OF CORRECTION",Internal,1,"DEPUTY COMMISSIONER, CHIEF INFORMATION OFFICER","DEPUTY COMMISSIONER (DOC)",Non-Competitive-5,95043,M6,"Administration & Human Resources Technology, Data & Innovation",FT,Executive,Annual,"Hazen St-A.M.K.C., E. Elm, Ny","Information Systems-Admin",N/A,N/A,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County.",5/5/2023,N/A,5/5/2023,8/6/2024,$195000,$225000,"Technology, Data & Innovation",N/A,$195000,$225000
627893,"DEPT OF ENVIRONMENT PROTECTION",External,1,"DIRECTOR, EHS PERFORMANCE MEASUREMENT AND STRATEGIC PLANNING","ADMINISTRATIVE PUBLIC HEALTH S",Competitive-1,82989,M3,"Administration & Human Resources Communications & Intergovernmental Affairs Health Policy, Research & Analysis Public Safety, Inspections, & Enforcement",FT,Manager,Annual,"59-17 Junction Blvd Corona Ny","ENVIRONMENTAL HEALTH/SAFETY","35+ Hours per week Monday - Friday","59-17 Junction Blvd Corona Ny","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County.",3/14/2024,N/A,3/14/2024,8/6/2024,$78721,$209971,"Public Safety","35 Hours Per Week",$78721,$209971
550638,"DEPARTMENT OF TRANSPORTATION",Internal,3,"PROJECT MANAGER","PROJECT MANAGER INTERN#",Competitive-1,22425,0,"Engineering, Architecture, & Planning",FT,"Experienced (non-manager)",Annual,"55 Water St Ny Ny","Permit Management",35hrs,"55 Water Street,  NY, NY","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County.",9/19/2022,N/A,1/23/2023,8/6/2024,$51535,$59265,"Engineering, Architecture, & Planning","35 Hours Per Week",$51535,$59265
597548,"DEPT OF DESIGN & CONSTRUCTION",Internal,2,ENGINEER-IN-CHARGE,"CONSTRUCTION PROJECT MANAGER",Competitive-1,34202,3,"Engineering, Architecture, & Planning",FT,"Experienced (non-manager)",Annual,"30-30 Thomson Ave L I City Qns","INFRA/CONSTR. MGMT 1/EXECUTIVE","35 Hours","Selected candidates will be assigned to work at 30-30 Thomson Avenue Queens, NY 11101 or 40 Worth Street NY, NY 10013","New York City Residency is not required for this position.",8/9/2023,N/A,2/27/2024,8/6/2024,$78745,$101230,"Engineering, Architecture, & Planning","35 Hours Per Week",$78745,$101230
636724,"DEPT OF ENVIRONMENT PROTECTION",External,1,"SECTION CHIEF OF BUDGET PLANNING & MANAGEMENT","ADMINISTRATIVE STAFF ANALYST (",Competitive-1,1002D,0,"Finance, Accounting, & Procurement",FT,Manager,Annual,"96-05 Horace Harding Expway","BWT - ADMINISTRATION/PERSONNEL","35 hours per week/day","96-05 Horace Harding Expressway, 2nd floor Corona, NY 11368","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County.",6/10/2024,N/A,6/10/2024,8/6/2024,$103497,$148895,"Finance, Accounting, & Procurement","35 Hours Per Week",$103497,$148895
636645,"HRA/DEPT OF SOCIAL SERVICES",Internal,1,"CASE MANAGEMENT SUPERVISOR","ASSOCIATE BENEFITS OPPORTUNITY",Competitive-1,56316,1,"Social Services",FT,"Experienced (non-manager)",Annual,"890 Garrison Avenue","FIA Operations-NM",N/A,N/A,"New York City Residency is not required for this position.",5/21/2024,N/A,5/28/2024,8/6/2024,$56677,$65179,"Social Services",N/A,$56677,$65179
638394,"TAXI & LIMOUSINE COMMISSION",Internal,1,"ASSISTANT COMMISSIONER FOR HUMAN RESOURCES","ASSISTANT COMMISSIONER (TLC)","Pending Classification-2",5644,M3,"Administration & Human Resources",FT,Manager,Annual,"33 Beaver St, New York Ny","Human Resources",N/A,"33 Beaver St, New York Ny","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County.",6/13/2024,N/A,6/27/2024,8/6/2024,$155000,$194000,"Administration & Human Resources",N/A,$155000,$194000
635305,"DEPARTMENT FOR THE AGING",Internal,1,"PROGRAM OFFICER","PROGRAM OFFICER (DEPT FOR THE",Competitive-1,51454,1,"Constituent Services & Community Programs Social Services",FT,"Experienced (non-manager)",Annual,"2 Lafayette St., N.Y.","OLDER ADULT CENTERS",N/A,N/A,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County.",5/31/2024,27-Nov-24,7/23/2024,8/6/2024,$62117,$71434,"Social Services",N/A,$62117,$71434
